"survey","station","counter_ID","time","still_n","feature","x","y","annotation_time","VideoOperatorID","minute"
"REF_FOOTAGE","ref_fu22_4","MAE","00:00",8,"BURROW",766,519.5,"30-Jul-2020 17:26:00",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:03",43,"BURROW",897,630.5,"30-Jul-2020 17:26:05",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:04",54,"BURROW",325,614.5,"30-Jul-2020 17:26:08",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:06",84,"BURROW",363,603.5,"30-Jul-2020 17:26:17",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:08",107,"BURROW",450,651.5,"30-Jul-2020 17:26:21",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:08",112,"BURROW",923,621.5,"30-Jul-2020 17:26:24",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:15",199,"BURROW",427,606.5,"30-Jul-2020 17:26:31",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:16",208,"BURROW",524,561.5,"30-Jul-2020 17:26:34",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:22",281,"BURROW",764,589.5,"30-Jul-2020 17:26:42",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:23",297,"BURROW",245,570.5,"30-Jul-2020 17:26:45",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:30",377,"BURROW",588,574.5,"30-Jul-2020 17:26:59",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:35",442,"BURROW",636,584.5,"30-Jul-2020 17:27:07",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:42",529,"BURROW",236,613.5,"30-Jul-2020 17:27:21",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:43",550,"BURROW",489,566.5,"30-Jul-2020 17:27:24",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:53",668,"BURROW",107,635.5,"30-Jul-2020 17:27:41",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:55",692,"BURROW",1124,665.5,"30-Jul-2020 17:27:46",6,1
"REF_FOOTAGE","ref_fu22_4","MAE","00:55",692,"BURROW",359,431.5,"30-Jul-2020 17:27:47",6,1
