FU	Station	Minute	reference 
2021	1	1	16.7
2021	1	2	14
2021	1	3	15.9
2021	1	4	17
2021	1	5	12.7
2021	2	1	9.7
2021	2	2	11.4
2021	2	3	8.6
2021	2	4	12.6
2021	2	5	18
2021	3	1	9.5
2021	3	2	10.8
2021	3	3	4.8
2021	3	4	5
2021	3	5	3.5
2021	4	1	7.2
2021	4	2	8.9
2021	4	3	7.5
2021	4	4	9.7
2021	4	5	7.5
2021	5	1	16.8
2021	5	2	17
2021	5	3	13.9
2021	5	4	15.3
2021	5	5	17
2021	6	1	7.3
2021	6	2	9.8
2021	6	3	6
2021	6	4	6.3
2021	6	5	5.5
2021	7	1	2.6
2021	7	2	4.3
2021	7	3	2.4
2021	7	4	5
2021	7	5	3.4
2021	8	1	4.7
2021	8	2	3.7
2021	8	3	6.6
2021	8	4	4.6
2021	8	5	6.4
2021	9	1	10.5
2021	9	2	11.2
2021	9	3	11
2021	9	4	11.6
2021	9	5	14.5
2021	10	1	5.8
2021	10	2	6
2021	10	3	7.9
2021	10	4	7.8
2021	10	5	9.9
